fft_01,fft_02,fft_03,fft_04,fft_05,fft_06,fft_07,fft_08,fft_09,fft_10,fft_11,fft_12,fft_13,fft_14,fft_15,fft_16,fft_17,fft_18,fft_19,fft_20,spectral_centroid_norm,spectral_entropy,spectral_skewness,spectral_kurtosis,spectral_flatness,label
57.5605861542859,57.3062991296126,48.9008518485421,7.90677867135155,2.52232655231046,-1.2623387113369,-2.69331904493717,-4.25757817172201,-5.87352065638734,-6.76127494639403,-7.54735211529297,-8.59802234865483,-9.00411547232579,-9.65767013806422,-10.4869580364103,-10.6369982418928,-11.1858399074968,-11.8346747921016,-11.8947553286183,-12.3877412138834,0.0475380831819736,9.00196615377442,0.106371982662482,2.32324628791,2.38657778976743e-05,0
57.66014941406,57.8283216931184,48.3787377719538,7.16293861341059,1.40726906082642,-1.85726843768402,-3.60583940242753,-4.69046164367584,-6.50401741604851,-7.11573167874803,-8.15089950068666,-9.33509358682603,-9.68936642026153,-10.5198288483267,-11.2115585398753,-11.2253223756967,-11.691849779257,-12.5731989145577,-12.2649893706213,-13.115388951174,0.0476319269036905,9.00067495049047,0.0958642363517859,2.27942440331537,2.09473108600253e-05,0
57.381886691088,56.9423926840606,48.1242047207178,8.29275266458385,3.05562934508998,-0.385026829899169,-2.01048412539531,-3.35048379965864,-4.76889292709216,-5.5715123581263,-6.37425575354661,-7.4403868803786,-8.03700862929939,-8.39455731959032,-9.31400837036862,-9.54641629768679,-10.0567059291885,-10.6588437064772,-10.758794381369,-11.1866002876351,0.0474323691708012,9.00184398599162,0.11865910104273,2.44389511248159,2.90175038166403e-05,0
58.012348593671,57.7491228037853,48.0271762238037,8.01896893468307,2.35581298576329,-0.83597202523943,-2.21299379433408,-3.74874533556169,-5.32729549415824,-5.99561915747488,-6.69680299975988,-8.10007978794517,-8.51489162300736,-9.01663210449186,-9.92903326584053,-10.1787314750007,-10.4004923046823,-11.2656928479017,-11.3459369964283,-12.0087011643147,0.0474358460444855,9.00093789409329,0.114750813036886,2.38650542435407,2.61937663371872e-05,0
58.154543954764,57.8002928953131,48.8607036005336,7.90990112924132,2.27674585965548,-1.150778660307,-2.71155447357938,-3.93108796231062,-5.62617354156301,-6.29589376779399,-7.20594878242139,-8.33982166110382,-8.62889422597977,-9.61985105784157,-10.2440705412114,-10.4575187462576,-10.8768507144666,-11.5463763790183,-11.4024207334057,-12.1619521510745,0.0473843834730574,9.00180607241343,0.111403422384786,2.35171544558183,2.49212639709802e-05,0
57.6409500895551,57.8222400260236,48.2028965941613,7.79786810932978,1.82447372994647,-1.46375906408032,-3.21549659909157,-4.51446229316632,-6.40127894946632,-7.0810509891935,-8.06027602405441,-9.14822850761999,-9.57798560042168,-10.0419997507354,-11.0750728454383,-10.9012633208403,-11.684395185626,-12.4455732970643,-12.3238632723419,-12.6974160390282,0.047378841294176,9.00126800489176,0.112424604626301,2.28704073943944,2.19544707788272e-05,0
57.6975556770266,57.9608778077664,48.3013927530629,7.94865006635637,2.72161142186914,-0.706347821711789,-2.12933656816889,-3.67984993903096,-5.30634533065697,-6.09619736863743,-6.73206611524996,-8.12579589663426,-8.5468793581487,-9.10136717518496,-9.97052776573882,-10.1390202372174,-10.64155814265,-11.2683482849574,-11.2178076645496,-11.5735236645018,0.0473326394700939,9.00033373127756,0.121684679635665,2.38636062352563,2.62334204600402e-05,0
57.1462072016786,58.0983434322425,48.5135534177757,8.09026969852121,2.52678558718064,-0.8155613679416,-2.49413175611092,-3.82687408898348,-5.52878716819859,-6.14393237028873,-7.1684270796281,-8.39938995373642,-8.78578973621201,-9.14468420039499,-10.2847135105548,-10.554446287562,-10.6657647747294,-11.6286713676338,-11.42415198012,-12.1858852489796,0.0473388828009159,9.00115142633203,0.118725708691394,2.35915279466266,2.52759846881953e-05,0
58.0168394674032,56.9293767833509,48.3194557851685,8.69960739240758,3.27338863375307,-0.545486020976341,-2.17448339412723,-3.47737749763771,-5.4157177501934,-6.10637291878017,-6.9059548345323,-8.22064579815781,-8.58257812946548,-9.32682951691736,-10.1187578934453,-10.16587268528,-10.900246834834,-11.4523431264365,-11.7302494481845,-12.1128535012314,0.047461540381163,9.00100472576949,0.109218039525806,2.36786393369293,2.62492470187691e-05,0
57.2222425399446,57.2318691640835,48.5163765526171,7.78499899414532,2.22697617863174,-1.45585531014659,-2.91872801423868,-4.6607643985141,-6.25774546290525,-6.90622621446274,-8.00711369550502,-9.04361904562844,-9.48479256466079,-10.048934292145,-10.9711611927665,-11.3126093435123,-11.4344736094445,-12.3442615341397,-12.2855633790472,-12.8671993413181,0.0474245808231094,8.99794731701114,0.106473234078758,2.2987467093644,2.22762509068109e-05,0
