fft_0.042Hz,fft_0.292Hz,fft_0.542Hz,fft_0.792Hz,fft_1.042Hz,fft_1.375Hz,fft_1.625Hz,fft_1.875Hz,fft_2.125Hz,fft_2.375Hz,fft_2.625Hz,fft_2.875Hz,fft_3.125Hz,fft_3.375Hz,fft_3.625Hz,fft_3.958Hz,fft_4.208Hz,fft_4.458Hz,fft_4.708Hz,fft_4.958Hz,total_power,max_power,crest_factor,regrowth_power,outer_power_ratio,shoulder_power_ratio,adjacent_channel_power_ratio,label
57.1882750108458,57.8773375106023,45.6214363114433,8.58599521863584,3.13290319312718,0.274221068727554,-1.67433420576886,-2.7585423507254,-4.4055597167148,-5.28710563664091,-5.98816551361555,-6.95069018831662,-7.44270136614819,-8.29169673254818,-8.68470687958413,-9.27865375638845,-9.74827817297885,-10.1044610799926,-10.25604592355,-10.9597793921021,271943822.866863,797115.81929805,2.38549421282652,244.008711248886,1.3125831228147e-06,4.25928469669721e-06,3.63642651915246e-06,0
57.336265585093,56.9664118091423,46.0875715221157,8.54783003691122,2.13899963806905,-1.06797845816569,-3.36959071688778,-4.56680056458166,-6.09369253810047,-6.87825094541467,-7.79464386559138,-8.90927805307866,-9.16527253839747,-10.209504755294,-10.4961804694787,-11.1217646554186,-11.5746432409723,-12.1540688353235,-12.1808275521532,-12.752457263302,271945115.309815,750885.603229952,2.15080440112059,159.302283423336,8.61390081646325e-07,3.07433315082437e-06,2.65605949911535e-06,0
57.3595209821327,57.8426640324248,45.5971430815295,8.27733814301341,2.74508468770241,-0.503449825638341,-2.74889102417077,-4.02949282511567,-5.68387976394766,-6.54666177977846,-7.14261110348161,-8.09794693147455,-8.83669841964506,-9.6530980275509,-9.85996635890176,-10.8392003184906,-10.980225207052,-11.5913185805429,-11.6733344072577,-12.1380761534226,271255418.911901,805497.400183075,2.34370063764128,176.385293481857,9.5739219989244e-07,3.51582724491736e-06,3.04447289168985e-06,0
57.2518521813897,57.5219013002707,44.5429476147174,7.34068643859063,1.67903734666896,-1.40924860470532,-3.27758969780722,-4.48378232227771,-5.3613484376559,-6.71437525178467,-7.33482355983179,-8.31011130928047,-8.65812951343478,-9.68523723468169,-9.88828027734016,-10.6637111054118,-11.0210724212556,-11.6509312554022,-12.0329753487193,-12.3482872052975,271468140.828654,802027.093651748,2.24748078467019,177.251361028122,9.56073453205759e-07,3.13072558033404e-06,2.67563453020428e-06,0
56.3772003470364,57.8906360009294,46.2766348955337,7.8872918273268,2.27531638758756,-0.527653839342866,-2.92744253647227,-4.29214475296918,-5.49532335081404,-6.7513818040478,-7.31664144878041,-8.29047848351155,-8.54897735911403,-9.7174227573472,-9.97966965253533,-10.5753590690179,-10.9605990373274,-11.5026101869757,-11.8362633590494,-12.3597593465125,271997270.322608,738613.502143289,2.5713890040737,181.460567187215,9.76427041144239e-07,3.21351357206014e-06,2.7494529445494e-06,0
57.752361767312,58.3486786046471,45.2131062723081,7.0191627451753,1.12382217462174,-2.07849152990427,-3.94069942540791,-5.06213009641382,-6.49742572685586,-7.24958378304088,-7.9973758386536,-9.26010332401896,-9.20501664984636,-10.349824563353,-10.2108038512404,-11.2143605326703,-11.963554265001,-12.0661522742721,-12.1977325675574,-12.8702727510856,271303638.439032,733799.253189972,2.41880441985257,154.21731100093,8.31734714741196e-07,2.69033152319539e-06,2.29623620271555e-06,0
57.9043873447836,57.6461130481551,45.6773211415906,7.4705417169311,2.02062719481488,-0.769533846866355,-2.98294114541722,-4.00617824352071,-5.37326174765419,-6.29087365376975,-7.08579174956734,-7.99405177365517,-8.28322847680965,-9.22542048053958,-9.27589389047212,-10.3872300535458,-10.9151828748876,-11.3211493784141,-11.3867692630074,-11.8563825498816,270939643.573815,829275.685848243,2.25370715035061,193.078360887526,1.04197774379945e-06,3.33160059862348e-06,2.83914244860023e-06,0
57.2684547417487,56.9186041685736,45.2530074583173,8.5390635889132,2.85735360404604,-0.292538057054375,-2.53343913035272,-3.86313647738503,-4.99850449907782,-6.22139612228996,-6.99460305723087,-7.97528602741633,-8.05527300282969,-9.31467603646836,-9.47910900539219,-10.4643425933554,-10.9366644187921,-11.1972118752677,-11.479391117309,-11.9108305269621,272087459.421773,741419.493931892,2.31680515931221,192.526752710498,1.03997614628413e-06,3.66876204594604e-06,3.16344051737782e-06,0
57.697629201281,57.6060112295011,44.897295328401,8.18499298671811,2.29543271760571,-0.669510204692236,-2.88739873223119,-3.94715946049286,-5.42597816468862,-6.56696436551705,-7.46274775296482,-8.22279054010812,-8.83081353741609,-9.64171363562482,-9.74041216999651,-10.8398670390928,-11.204282719295,-11.5667244442559,-11.3965693887912,-12.3133796997684,272075956.982721,821535.244013927,2.36169713144143,177.942309384171,9.62897623483206e-07,3.42461323166192e-06,2.95543847184223e-06,0
57.8736694474225,57.130239378211,45.627801567233,7.76727481720546,2.32037002209381,-0.590436549960763,-2.39381018918074,-3.80220986532632,-4.78579882301971,-5.83266885810535,-6.51837878558207,-7.46579185841673,-7.86739329702352,-8.8011422307569,-9.12952236765156,-9.76079303252383,-10.2163260310506,-10.6853783539322,-11.1811389352291,-11.4803247141389,271812726.981237,759172.642860809,2.22698966815967,218.887266912276,1.17547695961679e-06,3.61962913605254e-06,3.06922010913824e-06,0
