fft_0.042Hz,fft_0.292Hz,fft_0.542Hz,fft_0.792Hz,fft_1.042Hz,fft_1.375Hz,fft_1.625Hz,fft_1.875Hz,fft_2.125Hz,fft_2.375Hz,fft_2.625Hz,fft_2.875Hz,fft_3.125Hz,fft_3.375Hz,fft_3.625Hz,fft_3.958Hz,fft_4.208Hz,fft_4.458Hz,fft_4.708Hz,fft_4.958Hz,harmonic_distortion_ratio,harmonic_distortion_db,intermod_power_ratio,intermod_power_db,acpr_db,regrowth_power_db,nonlinear_residual_ratio,label
56.5982728188366,58.2192239816127,44.9656124926199,7.01943998769987,1.84836998922394,-1.40786225887455,-3.4400160808966,-4.64965247815506,-5.62616311691081,-6.77727073228171,-7.55564677227166,-8.52336295341446,-8.94742362119523,-9.85157480872365,-9.89718516155904,-10.9497563553696,-11.1054192472363,-11.6436711576289,-11.7839208441947,-12.295101937069,1.39218420851865e-06,-58.5630329666033,1.52954609013851e-06,-58.1543743173084,-55.7622548478607,22.419238301943,4.04434820137813e-06,0
57.2451201817963,56.8023949172387,45.7984355131512,7.4069148541223,2.49238996312636,-0.673523285402869,-2.52561868918355,-4.17988704033761,-4.94368789831037,-5.9117283698365,-7.3674691955631,-7.85046895459633,-8.24333140137181,-9.28379628909019,-9.3185594016665,-10.3330848335221,-10.5532965564016,-11.3046734665202,-11.3150512216039,-11.840389720776,1.55510058352477e-06,-58.0824151560597,1.70874500061063e-06,-57.673227430102,-55.2889231367598,22.9066815774875,4.51265402530437e-06,0
58.386720106584,57.6059516948522,45.4097573484474,7.58670376825507,1.97102614824959,-0.77868541450243,-2.88401612110663,-3.82832333663862,-5.29218509754969,-6.16643411799965,-7.06941685995405,-7.99022733282527,-8.55277555217291,-9.38346023065748,-9.63556920922467,-10.19652381723,-10.401767960938,-11.0506878350653,-11.3019325209918,-11.9528065972151,1.52474420938505e-06,-58.1680300725077,1.65954390193857e-06,-57.8001125412377,-55.5087745213629,22.8408069498128,4.33627610606178e-06,0
57.037002027312,57.68509222594,45.8621812012703,7.70356441048361,1.91904228074911,-0.848732263444625,-2.8675241077531,-3.98438589656599,-5.26506491302391,-6.06786853833781,-7.00204802712036,-7.88480131977389,-8.68702997585448,-9.29304709170035,-9.6527897057617,-10.4484108435444,-10.7384197018768,-11.5081354923685,-11.239499197357,-11.9934653719466,1.53058318564169e-06,-58.1514306189818,1.68192627363574e-06,-57.7419304513649,-55.36028301697,22.8289177389714,4.43993570083575e-06,0
57.3920624203095,57.4747659931955,45.8841175366283,8.32506617921794,2.1604095278783,-0.704821361265187,-2.61621983338291,-4.22683733913975,-5.1152463924021,-6.23572830485213,-6.86244440130139,-7.85242340760547,-8.61104359468955,-9.27927935022719,-9.34023902609496,-10.2022232165004,-10.8193735519529,-11.1441981490917,-11.3715191514952,-11.813716652462,1.54576871110551e-06,-58.1085548771951,1.69941609666608e-06,-57.6970027242132,-55.2897777432297,22.8857377492485,4.50274895300563e-06,0
57.0919140217253,57.2484964756003,45.4613296546458,7.97101251443704,2.13431083966757,-0.765047558282528,-3.03260079387264,-4.05117800785043,-5.18021708959398,-6.49608179088526,-6.81434879822377,-7.9259817517759,-8.38588281125659,-9.3689471605285,-9.24881266654937,-10.440564086787,-10.8256465229585,-11.2093854386953,-11.0855364688421,-11.8197552711023,1.51968032437638e-06,-58.1824775933428,1.65216486346236e-06,-57.8194661814399,-55.5090594134691,22.8262855274073,4.33103299565541e-06,0
57.6996372088906,58.832993310044,45.1353525462715,7.89661057672572,1.97460481876123,-0.32398230614063,-2.94093551764427,-4.37245924954432,-5.35182809481283,-6.52984591520111,-7.28142398120272,-8.15847190843041,-8.77354237722158,-9.52599902870681,-9.58929298144999,-10.5769347043242,-11.162647040549,-11.4769668507723,-11.3161468784138,-12.1481210538382,1.45191355991127e-06,-58.3805923864597,1.61363112879657e-06,-57.9219573661569,-55.4384167337221,22.5680801177225,4.30942598165097e-06,0
58.1851475610185,57.1503416306988,45.6982073055266,7.38117039339318,2.63310594063782,-0.156460521759597,-2.48814115153261,-3.71761459109656,-4.93863360418292,-5.80915107682506,-6.51596574899867,-7.7517989652014,-8.08584538610927,-8.86749495052803,-9.29793258133912,-10.1801305497934,-10.1103611312249,-10.6982108602742,-10.7929534176569,-11.4732201112708,1.67253142822329e-06,-57.7662571267993,1.81419958372843e-06,-57.4131493698906,-55.1462173048824,23.2441845297946,4.72884402543253e-06,0
57.5720653264942,57.866278177396,45.6016340115934,7.99130145077362,1.80109383566998,-1.0430511643223,-3.08332324947781,-4.53918379934582,-5.56359914376414,-6.64603925861566,-7.12475772085082,-8.31005843991132,-8.44377949068062,-9.65599949374726,-10.0870445587296,-10.639531998578,-11.10410461067,-11.5765648913431,-12.1382404362485,-12.2822851357155,1.42644655187151e-06,-58.4574449639786,1.56784609753107e-06,-58.0469657059098,-55.6496678227395,22.542245928214,4.14825631221479e-06,0
57.1975301079648,57.9574077645872,45.0259138898838,8.25862767835835,2.74643281134727,0.0869843778096468,-2.3653929213424,-3.57676771451542,-4.6034119075709,-5.80731143010434,-6.55296237193776,-7.50095763463806,-8.30720144439291,-8.75142986755371,-9.10885049336732,-9.81202691483027,-10.265693174622,-10.6592693414695,-10.9927803801633,-11.4839036652109,1.71311234289775e-06,-57.6621415577519,1.87954083897605e-06,-57.2594823337359,-54.9072934509271,23.3145418144852,4.94228874189521e-06,0
57.0674295330489,57.6228163847578,45.4601385793153,8.14789810085348,2.50973616019111,-0.560274356954069,-2.70042189676636,-3.86478924724814,-4.85475216626611,-6.28110266440612,-7.01832066646491,-7.94224750087455,-8.52893420794961,-9.2133504543874,-9.5880675136571,-10.3670960155836,-10.9698189898688,-11.2402268651742,-11.5000789560659,-11.8362265098994,1.54405184624116e-06,-58.1133812093368,1.71021193625074e-06,-57.6695006672057,-55.2364424416836,22.8648921254354,4.53757359752399e-06,0
57.0994273451927,58.0102573875369,45.5529098831001,7.5091849702538,1.53004063126342,-1.40460213526323,-3.73406256247772,-5.22849342009537,-5.92396162240386,-7.19650128657125,-8.48209897362043,-8.99416637458448,-9.6051107398647,-10.3639374706229,-10.3574665164392,-11.4883337000848,-11.5510827422944,-12.2472451079897,-12.6277586415508,-13.0346344995195,1.22142903500987e-06,-59.1313176037493,1.3512521628397e-06,-58.6926359782677,-56.2092058379521,21.8326842474406,3.61425148024908e-06,0
57.3080550893763,57.3786722507508,45.8377325535295,6.82512318546805,1.99231217755584,-1.36712945398947,-3.47911187585898,-5.02662933418798,-5.78842040004421,-6.82251933334346,-7.50972764832455,-8.6363649156705,-9.12817758205609,-10.0381489979964,-10.417350832143,-10.9694711223852,-11.3487275960502,-12.1955415586165,-12.2118248940495,-12.9060514201969,1.28262223283493e-06,-58.9190123626482,1.43302800937997e-06,-58.437453209099,-55.8693275967208,22.0349193911654,3.87024475793826e-06,0
57.7753866208998,57.9261088629402,45.7844818168272,7.61494638887613,1.78251625692615,-1.30471752401251,-3.82889641065162,-4.94828023098253,-6.11700439540745,-7.50987787812472,-7.75559123128871,-9.03173490487739,-9.26293406728013,-10.2938136319127,-10.6130878806532,-11.3360171759692,-11.927686710569,-12.4143830572675,-12.3909422793852,-13.0033602553753,1.22083153061345e-06,-59.1334426257151,1.36678787304651e-06,-58.6429888310412,-56.0629986421411,21.8209695510415,3.69559298643663e-06,0
57.883104823484,57.157387419105,45.2111504605944,8.02066596081034,2.35219190325095,-0.19295751194969,-2.35418008020233,-3.83000324087052,-5.04189166303025,-6.01269083208218,-6.68643698199718,-7.63103400982602,-8.30021411877927,-9.07069240200649,-9.46561834659046,-10.0762510578067,-10.620961661465,-11.0536229356866,-11.1697372444246,-11.7994585021068,1.62534461670902e-06,-57.8905454276887,1.76766533059912e-06,-57.5259995580243,-55.2475399912809,23.123857227896,4.61118583442916e-06,0
57.4366446053001,57.5973265796087,45.1597293395327,8.114694348154,2.41372960607211,-0.755831181535238,-2.99877976617228,-4.37043592908119,-5.43100385012042,-6.34774051393454,-7.21084590002757,-8.13166355386655,-8.45231826574136,-9.51488478318888,-9.7871675871648,-10.3456279827871,-10.9066555665124,-11.2513063909817,-11.5095474465978,-11.9356366859208,1.50301100697997e-06,-58.2303783887444,1.65403958033618e-06,-57.8145410215206,-55.4005386705466,22.7488588967344,4.38552579146959e-06,0
57.1878594746969,57.769838334393,45.5447953906784,7.70712748323892,1.48106092957854,-1.48910962411962,-4.28629512501994,-5.838273748804,-7.05459319954092,-8.08060248124059,-8.77367474482163,-9.9418578554879,-10.2557246309834,-11.2653875428854,-11.201360724715,-12.4781001332769,-12.5484988900913,-13.2522237952399,-12.8851250785884,-13.9284473916015,1.00811092661868e-06,-59.9649167794577,1.16904495477322e-06,-59.3216878795622,-56.4413537712809,20.9148889196907,3.27646966637086e-06,0
57.7902950899787,58.301573702166,45.504490228033,7.217084208227,2.33475332016318,-1.10542662370079,-3.68509887150748,-4.53986693890149,-6.13732122193339,-7.04135698162259,-7.72872585794778,-8.80401044799192,-9.33515951807965,-10.1323536260605,-10.1889823029608,-11.1369510174846,-11.522148080724,-12.2671348271661,-12.50077045625,-12.7660051023212,1.28156604673915e-06,-58.922590070438,1.42363930915653e-06,-58.4660002880917,-55.975410615874,22.0452829754667,3.80673239097033e-06,0
57.4180861463983,58.104957186227,45.9597005113082,7.08465847794837,1.45369595529602,-1.61725775883447,-3.7218110320964,-5.17976046602548,-6.21459122015328,-7.35732933144376,-8.05096601110126,-9.0199564588599,-9.75401239200033,-10.3541200164462,-10.9461331930816,-11.4171098333672,-11.9798159879063,-12.3886460460867,-12.2677595694203,-13.170492348616,1.19558769077585e-06,-59.2241856482648,1.3264672017243e-06,-58.7730348385716,-56.2648914354739,21.7424868092163,3.5579376466027e-06,0
57.1717452090528,57.3752525506445,44.8424123483346,7.81133555548712,1.96743550694192,-1.11211679959955,-3.23822301681553,-4.60734043072941,-5.84026954917846,-6.79176716357787,-7.5481179170255,-8.66074543723786,-8.69611049648029,-9.84030010003228,-10.2577646858763,-10.9427473346082,-11.0102830700355,-11.8585481156549,-12.5326924520973,-12.6589952578997,1.35140459289824e-06,-58.6921460933926,1.5013268365411e-06,-58.2352475215969,-55.7470402513122,22.2811254133748,4.0129143558865e-06,0
57.2094736235115,57.7658160040069,44.918042926161,8.11145472873782,2.08683584634158,-0.586935256473496,-2.88069738164445,-4.11809113580055,-5.22689538648183,-6.13457122609421,-6.82773370894811,-7.84332695112521,-7.93968711324859,-9.18438147030187,-9.59243497310757,-10.1409189892052,-10.530359965823,-10.8641608098556,-11.1550000072261,-11.7195108448788,1.56906166433231e-06,-58.0435998818525,1.70219497215194e-06,-57.6899069655665,-55.4127047390573,22.9687606413062,4.44347389176209e-06,0
57.4475009895051,57.721714806576,45.6970474590017,7.86301272453846,2.14237364771219,-0.535105276744606,-3.32420328928986,-4.73027892076029,-5.93722553067034,-7.35190659594963,-7.82347872762293,-8.87299690553015,-9.43756048280215,-10.5203565937461,-10.6656156280851,-11.3886793896507,-12.0080241653716,-12.2835237726705,-12.263473083222,-12.979763409298,1.2376496572931e-06,-59.0740227400797,1.41828947306091e-06,-58.4823512047935,-55.7116086308973,21.8404958808164,3.92101981083045e-06,0
57.3434480907062,57.9187960229577,45.2515436312815,7.61929783056114,2.1700040814005,-1.16534475714353,-3.33343843603425,-4.67516614390785,-5.85811984907692,-6.59097109790628,-7.3039780687284,-8.52732303491705,-8.93743388580582,-9.82814266295763,-9.72008801153369,-10.9269415061406,-11.0725824871541,-11.7379642988803,-11.5371330287828,-12.4943052486159,1.37077247743357e-06,-58.6303462391119,1.53218326590558e-06,-58.1468928515528,-55.5910240089064,22.3245605304193,4.12963954817593e-06,0
57.6531971907678,57.4218221421593,45.1098570427974,7.82997202736657,2.52101177444864,-0.825433965324047,-2.90894425352665,-3.81161833545021,-5.51065961486342,-6.42700584263356,-7.29040931897287,-8.05391350588016,-8.54798232394495,-9.38581875191986,-9.69411836704569,-10.0736069490877,-10.9084243107208,-11.4031399342993,-11.3507105061923,-12.0135718954213,1.49674517544779e-06,-58.2485213300412,1.68670888239867e-06,-57.72959867963,-55.1076427728051,22.6823306376215,4.58042669068596e-06,0
