fft_0Hz,fft_0.263Hz,fft_0.526Hz,fft_0.789Hz,fft_1.053Hz,fft_1.316Hz,fft_1.579Hz,fft_1.842Hz,fft_2.105Hz,fft_2.368Hz,fft_2.632Hz,fft_2.895Hz,fft_3.158Hz,fft_3.421Hz,fft_3.684Hz,fft_3.947Hz,fft_4.211Hz,fft_4.474Hz,fft_4.737Hz,fft_5Hz,label
58.0415906739025,56.9148558741959,48.3971869136341,8.23918376671522,2.7806596324888,-0.741731864492211,-2.45466234654503,-3.60481717402879,-5.38917096478705,-6.33175971358224,-6.71386086088603,-8.21809930280703,-8.67440531687855,-9.12251331338775,-10.1139520622778,-10.2886355531144,-10.8071676741566,-11.4763784681369,-11.5119846463106,-11.9461771580148,0
56.9088562023766,57.4772274586314,48.1835741720289,8.07110814147882,2.99498341891283,-0.647609898913053,-2.26717956117762,-3.74039367240489,-5.34250506380944,-6.41506017210632,-6.96408725360824,-8.18611833938628,-8.60534120592376,-8.96485402023505,-10.1219993734841,-10.3006064296451,-10.7141816459031,-11.4663951835171,-11.7433054251958,-11.8388910976565,0
57.7419351292946,56.8753047837565,48.0258569230975,7.56393353782138,2.106408734606,-1.10935563229787,-2.60798092386832,-3.91243501182728,-5.69551314181181,-6.47329594734744,-7.1439809087199,-8.50302432249374,-8.94485446304789,-9.39032060590371,-10.3797483195753,-10.4844947527476,-11.1847372800838,-11.7200229658539,-11.9490892289707,-11.7898091014638,0
56.224577151484,58.1762843600967,48.7296079106584,7.92237932230176,2.01986627193451,-1.20318661633092,-2.79868706954191,-4.22494699604851,-6.00821937390154,-6.70117360166902,-7.69039129125268,-8.84897625852075,-9.2421888389772,-9.68645569316379,-10.7353905769583,-10.9121569669768,-11.3943769088233,-12.0892675503382,-12.1231732080719,-12.5945245330745,0
57.8377732560082,57.9345106769026,48.1112212469546,8.49107313654966,2.64230058501658,-0.282376020205353,-1.86771100459956,-3.54398318622366,-4.89874478414573,-5.61450500999649,-6.63619245574704,-7.64426944869474,-7.87721891291951,-8.80974096477397,-9.58946968135305,-9.84207883948841,-10.2241982932092,-10.9306396759808,-10.8402960154052,-11.501258745419,0
53.6674911562178,51.9461503674703,44.2067081067984,7.68797821035627,1.34131789671433,-2.04100616417799,-3.33660249754934,-5.04468029751307,-6.59548244127161,-7.12081154039876,-8.11290873295801,-9.31222887211049,-9.62565452591305,-10.172477527341,-11.1645306683916,-11.0999281030097,-11.7202388456207,-12.5461448836841,-12.3101217726387,-13.0185302372209,1
52.7649562215439,52.6708695787685,43.5203229593921,8.11501524210211,1.81879610653248,-1.16069059411619,-2.64625825866793,-3.95380654800056,-5.50347022812863,-6.17169083415218,-6.98476348464074,-8.18117682320112,-8.56975234073041,-9.38841851120153,-9.99265370321003,-10.0051803504178,-10.6892857104367,-11.3245850285247,-11.4536184244748,-11.8715256094118,1
53.4063008161666,52.5325453208808,43.9640148720904,8.68943051343864,2.33915044442479,-0.752187709889753,-2.07002748364964,-3.61061192735885,-5.12628405297296,-6.05722296306263,-6.62128712098823,-7.82899952739719,-8.26521780603832,-8.78873504733229,-9.65585797710728,-9.75822915988823,-10.3743626619164,-10.9971948765522,-10.8662305101033,-11.6291625751794,1
53.3320408993307,52.5853155718961,43.9481166469094,8.2136738338333,1.48293346367247,-2.05825915860555,-3.1957483260563,-4.98925701148861,-6.7672613052189,-7.35641439762813,-8.40477975980093,-9.53561736758659,-9.99318886716186,-10.4003700735792,-11.4416840924737,-11.4165943448223,-12.1425823189107,-12.7668819688225,-12.6957960248245,-12.9932427281001,1
52.3799855026084,52.1096413089137,44.1330116128726,8.05563350936954,1.8319235225323,-1.38278553064842,-2.7061130115137,-4.41732764347539,-5.82367138555695,-6.73187126561296,-7.06541609949333,-8.47015175346956,-8.82718676413972,-9.24093152909523,-10.3082553421123,-10.5006248207942,-10.7914905125312,-11.6443672270361,-11.6513082578347,-11.906768093018,1
