fft_01,fft_02,fft_03,fft_04,fft_05,fft_06,fft_07,fft_08,fft_09,fft_10,fft_11,fft_12,fft_13,fft_14,fft_15,fft_16,fft_17,fft_18,fft_19,fft_20,harmonic_distortion_ratio,harmonic_distortion_db,intermod_power_ratio,intermod_power_db,acpr_db,regrowth_power_db,nonlinear_residual_ratio,label
57.7231174776917,57.4224869085302,48.1771243710915,8.30681810218431,3.20996163002583,-0.505140514524222,-2.16559174884485,-3.64981702095806,-5.3013388532993,-6.18642179894355,-7.14669757565767,-8.17444790005837,-8.83943441961471,-9.32158056042799,-10.1214191350765,-10.3735657496765,-10.9175119178023,-11.511382936485,-11.7394778662004,-12.0930672109444,1.52440345145283e-06,-58.1690007653484,1.71169669098666e-06,-57.6657318884368,-55.0808109065156,22.773827050297,4.62718061997228e-06,0
57.5728969521726,57.8453461991595,48.5751379993167,8.40728369806736,2.16104408861236,-1.44621947559245,-3.03805611164551,-4.77316450688521,-6.39850996284783,-7.26345902139205,-7.70437733404317,-9.24970362642242,-9.41329126069513,-9.9994965129268,-11.202464210296,-11.0320015827991,-11.7254672324806,-12.5675877945717,-12.9760367478324,-13.2939671464347,1.20811686094453e-06,-59.1789105436962,1.37270428932493e-06,-58.6242300919428,-55.9280013431696,21.746222588323,3.76104720399313e-06,0
57.6750068268578,57.6414300486533,48.7227392247087,8.44031475443171,2.74369520179502,-0.826208743265908,-2.41291397019519,-3.81673086481647,-5.72851949443048,-6.1940189725144,-7.34277244761378,-8.49792464203488,-8.80889284407075,-9.70412105037347,-10.4161942624668,-10.4586035447763,-11.1328429276192,-11.7979685757811,-11.7510828555349,-12.0005150173454,1.42217566702156e-06,-58.4704675620639,1.59680995524981e-06,-57.9674676839575,-55.3702056683645,22.4747542224106,4.32494584341358e-06,0
57.4749142007029,57.3999882280958,48.4641114546531,7.81711176895986,2.34262322054604,-0.830801973599179,-2.34908059603798,-3.9253261833416,-5.46852527848995,-6.2502450800244,-7.06339902009105,-8.16214770299959,-8.61008507538332,-9.26345245278663,-10.0821813593963,-10.2227077146171,-10.9085692516947,-11.4126950570863,-11.4983263736249,-11.6221714272426,1.51949650400678e-06,-58.1830029472578,1.66706283480372e-06,-57.7804803041155,-55.4066324572648,22.8132176873469,4.39795861244034e-06,0
57.7614735213337,57.9934112213567,48.5072955333635,7.6035869821439,2.21283686247618,-1.13296649235822,-2.72089460068218,-3.90940395613635,-5.77513729562572,-6.53188205561075,-7.46704404626932,-8.59010282376433,-8.92323090938887,-9.54177141330674,-10.4695397300555,-10.6421871986243,-11.1233822689881,-11.8175473049283,-11.8609596380742,-12.3240239976652,1.3911616917728e-06,-58.5662238987848,1.53930637305156e-06,-58.1267493248825,-55.6512586783218,22.4190293742999,4.11200767569981e-06,0
56.3917264366686,57.2941809536187,48.3791413648467,7.34322486046153,1.94020829130021,-1.59573329869648,-3.00983113584934,-4.18088284307168,-6.28849767312837,-6.80862100527477,-7.73091968811659,-9.10320748970143,-9.59799788906895,-10.0289122731828,-10.9789035239129,-11.0332361805727,-11.4631549103234,-12.3451562648458,-12.1892795474257,-12.7174513624359,1.25411545934746e-06,-59.0166247854068,1.38967679263236e-06,-58.5708619499891,-56.0577420883026,21.9499765152138,3.73187277389549e-06,0
57.7804428194867,58.2621574163388,48.4842732769384,8.07551427616377,2.18584612985846,-1.40569400517808,-2.85814173411825,-4.57765358081355,-6.43724177714923,-7.04944526264234,-8.0841351542845,-9.34790825849547,-9.57036597466838,-10.4161054836426,-11.2901699784523,-11.2016929812395,-11.8688567728543,-12.6807409273681,-12.8768867227864,-13.1571857256978,1.18893033779042e-06,-59.2484359088433,1.36488897756024e-06,-58.6490267338327,-55.872719107903,21.6487952984906,3.7745872942728e-06,0
57.7742211779708,57.3376929760071,48.0650147808665,7.95562741680961,2.54960969680983,-1.14775984393916,-2.74748478015648,-4.26310977681462,-6.20356930723001,-7.1023525343401,-7.84231369615988,-9.09402074576055,-9.69146316638131,-9.76570169092197,-11.0680785642933,-11.2766633329096,-11.7517215526186,-12.4569476318173,-12.579135842012,-12.7697826113256,1.25005737376428e-06,-59.0307005368487,1.44010824706664e-06,-58.4160486246497,-55.6042609211782,21.864734587711,4.00059732965237e-06,0
58.3792910053051,57.7470515504342,48.8134981876759,7.47156257862193,2.33645588231091,-1.33249481889854,-3.08455911778525,-4.31542054490921,-6.18792936574739,-7.0468561529527,-7.82333091020664,-8.96626709961917,-9.53071643718427,-10.070089190171,-10.8689704641144,-10.9536075716023,-11.3623172041084,-12.2431177229579,-12.0997857340035,-12.3704815626902,1.27925337058937e-06,-58.9304342999558,1.4353164234516e-06,-58.4305234568493,-55.850718528762,22.0281864201191,3.87799037098046e-06,0
58.0293330206759,57.3018862369364,48.2339839975404,8.2801056196632,2.63110563127499,-1.15885763610196,-2.63239456016146,-4.45485795710545,-6.11962115312112,-6.92590039158916,-7.54482099433383,-8.90788719983953,-9.2923137558192,-9.98352290468767,-10.8684788678365,-11.0927193940178,-11.5694931607453,-12.246382791278,-12.4247463681231,-12.7494789221815,1.30217101358745e-06,-58.8533197623125,1.47205127815257e-06,-58.3207706124359,-55.6602792240835,22.0793939306907,4.0174243002291e-06,0
