fft_0.042Hz,fft_0.208Hz,fft_0.292Hz,fft_0.458Hz,fft_0.542Hz,fft_0.708Hz,fft_0.792Hz,fft_0.958Hz,fft_1.042Hz,fft_1.208Hz,fft_1.292Hz,fft_1.458Hz,fft_1.542Hz,fft_1.708Hz,fft_1.792Hz,fft_1.958Hz,fft_2.042Hz,fft_2.208Hz,fft_2.292Hz,fft_2.458Hz,fft_2.542Hz,fft_2.708Hz,fft_2.792Hz,fft_2.958Hz,fft_3.042Hz,fft_3.208Hz,fft_3.292Hz,fft_3.458Hz,fft_3.542Hz,fft_3.708Hz,fft_3.792Hz,fft_3.958Hz,fft_4.042Hz,fft_4.208Hz,fft_4.292Hz,fft_4.458Hz,fft_4.542Hz,fft_4.708Hz,fft_4.792Hz,fft_4.958Hz,label
58.0021946536142,57.5326633917259,56.8559013855003,55.5959195379536,45.7291237957667,11.1246901757718,8.0296688076589,4.5193339603492,2.69615026509727,0.281549172950462,-0.120103178146725,-1.54222062138388,-1.96573663769577,-3.49868265799464,-3.94385007181979,-4.1155466424335,-4.83090120210143,-5.94846503412864,-6.25369436809031,-6.56818950218916,-6.63900823097862,-7.80397960046025,-8.03512841669958,-8.38312246894288,-8.583003385055,-8.99554655244233,-9.44698678196982,-9.66558822571778,-9.46779799026863,-10.1640062464968,-10.4114959465164,-10.6491730076771,-10.4744742748662,-10.9021675193111,-11.3276931212323,-11.6270747266963,-11.0172901501107,-11.808636576607,-11.87259723206,-12.4577782945219,0
57.1586940058598,57.1268811889083,58.5523506134746,56.1119507557685,45.9279026277199,11.361645380269,8.15290645318836,3.87254592169267,2.13804936795633,-0.0494737228283099,-0.376302065458052,-1.28830318553806,-2.28174021260274,-3.95281738284725,-4.57518843662328,-4.72364003572581,-5.31550755304648,-6.5463220263821,-6.86575476638855,-6.8992076479354,-7.03666492765842,-8.22746655064184,-8.67177180191304,-8.82039360428439,-8.98935035216855,-9.58298449394661,-9.97200450008072,-9.79310958652407,-10.190148381634,-10.6950483610698,-11.0991504521333,-11.2716867166879,-10.8759099468515,-11.4824613007095,-11.8480919725961,-11.8511716970289,-12.1080169451774,-12.1941137121252,-12.6451772103242,-12.9112796443647,0
57.5915814003004,57.8145947773535,57.7147771883212,55.8841492625049,45.7309407906758,10.1406219795611,8.47280235604058,4.42633275510103,2.94754522658145,0.492897057949072,0.0430769655513363,-1.12768427084161,-1.57992873318943,-3.16166204481684,-3.63620854234541,-4.12955176335815,-4.51799245471415,-5.50493272349247,-5.95957680696483,-5.94209161389977,-6.32977746334779,-7.37029179235437,-7.71482020153503,-7.78430879963988,-8.42836992880532,-8.59801778968713,-9.0424014163639,-9.27008891461227,-9.51477345672837,-9.61816229013976,-9.998755868687,-10.2348693627165,-10.5111584194257,-10.5049936962915,-10.8843064432248,-11.0013142177461,-11.0201032969668,-11.2527986500079,-11.5645315628048,-11.7882388615832,0
57.6131355984649,57.3878730075547,58.0476482229123,55.8835653341986,46.4082142762261,10.749610257459,8.25844581246736,4.30778256075635,2.88303413339352,0.533805837593996,-0.0964474269087067,-1.32845711044736,-1.79739617544673,-3.15653779201944,-3.68202130999243,-4.01153306574572,-4.40276249944874,-5.61226701596744,-5.90255646466381,-6.12796221386205,-6.64770086271751,-7.30403054215546,-7.66131694662445,-8.00396770062098,-7.86678715721814,-8.77835020800158,-9.01470220447868,-8.96785860615033,-9.21856237459866,-9.7139754933515,-10.0562984096763,-10.0637629967818,-9.68533197824101,-10.4766368703243,-10.8026630804375,-11.143770984302,-10.715335621713,-11.4811192364359,-11.5340608410646,-11.8677198611242,0
58.5927947071154,56.8893937497587,57.7164686864557,54.7133823393886,44.9599870843479,11.0270437527765,7.60330751469552,3.9684215657918,2.27853838940209,0.137039444666771,-0.488485654994776,-1.06036364212518,-2.34748985473375,-3.53493788386572,-3.81506124916673,-4.48149659821721,-4.60038148228514,-5.92265503640718,-6.21237182704654,-6.07672546047703,-6.78109030060725,-7.4158412779883,-7.91334976265267,-8.39909630780969,-8.22844306371924,-8.96694806398161,-9.21675761561521,-9.55276299527886,-9.1202248479161,-10.0148309570717,-10.2145647047773,-10.4501745820175,-10.3989897892281,-10.8367994857412,-11.1264365048566,-11.3816334747705,-11.2366466307699,-11.4582599487851,-11.6378891266418,-11.9827019710227,0
57.4843936727498,57.7883545229413,57.9109347290087,55.3476650351782,45.3571284695605,10.7332413046274,7.81979904051356,3.22843053230026,1.84175315325495,-0.57465245758212,-1.40414051303346,-2.08890459202679,-2.77305538175481,-4.34271221903902,-4.8725194380368,-5.3237568520577,-5.54072664939969,-6.82247490829273,-7.13398130975675,-7.44616818697998,-7.65556543962976,-8.52125987495163,-8.87448221431781,-8.61826207511008,-9.06145916479002,-9.55151277327684,-10.2389258565564,-10.6233384611667,-10.2300585434209,-10.679912793495,-11.2873010246897,-11.1280192180149,-11.2436369191338,-11.7703910128569,-12.0788968431335,-12.0937899433749,-12.1497326104833,-12.5934052283624,-12.7107103141482,-12.8789006787757,0
57.2738664529146,58.1472217074217,57.7336078670515,55.2550467979582,44.9809037713941,10.3094559831409,7.96792888104085,3.44608621854546,2.01644894413245,-0.244527119102029,-0.708396367714085,-1.31148196448678,-2.63660463909042,-4.0236011125939,-4.37342859865483,-5.01287081223354,-5.22748777274404,-6.44266958857587,-6.92918662556979,-6.95368388909998,-7.58582598054816,-8.34872530849376,-8.59605352586284,-8.55796058984873,-8.73745811142813,-9.60791562358145,-9.87326099618735,-9.63430963945195,-9.87153359133396,-10.6786815443766,-10.9384796427166,-11.0036180729988,-11.0118906146736,-11.454288139331,-11.7887469002011,-12.234287768413,-11.8472652818226,-11.9482067216449,-12.4594587666199,-12.7897903851478,0
56.9397316145456,57.3641019669615,57.2192374969568,55.6378574854965,45.8660956965724,10.4392011315657,7.12272110657564,2.87596376116176,1.64646045584679,-0.532538118630407,-0.830056976801422,-1.9477762915465,-2.46052537550703,-4.30241318011246,-4.62421196487583,-4.93279975587211,-5.29217039593855,-6.82750323734101,-6.95742638505532,-7.16997694697386,-7.42220207311051,-8.44540851228537,-8.72426035446272,-8.86976658756716,-8.85071690172211,-9.75127305806938,-10.0312951925483,-10.1464350013121,-10.1837228691847,-10.5197019078167,-11.1176733208449,-11.1757769134065,-11.0888799780225,-11.4904608544352,-11.8820775207851,-11.7800990801813,-11.8519907088299,-11.9969714854699,-12.6279967681635,-12.8861086887227,0
57.8826956061489,57.3687743798799,57.2357535331747,55.3319401921043,44.8494372716056,10.3594950515296,8.08202787481603,4.22802055057092,2.51241108057602,0.318891583230547,0.0532898432481044,-1.03397687315742,-1.94742405072259,-3.38813887228015,-3.70424782813586,-4.28493325143261,-5.15729752061717,-5.57298771407368,-6.12162218162525,-6.17387104467555,-6.78626538440787,-7.34110525830459,-7.82047437779518,-7.96879235124877,-8.20446422448573,-8.80005916661544,-9.14958319132435,-9.32183155767231,-9.12933132261547,-9.96692191995614,-10.0280216618041,-10.2165737170939,-10.0061386384844,-10.98209197005,-11.0159557836456,-11.3801732259578,-11.2610841864789,-11.357295853365,-11.6540526159384,-11.9554441817336,0
57.477928075713,57.6779283378416,56.9312183633596,55.6853125211091,46.2477569300964,10.42268759044,7.93439135063034,4.29312107305495,2.00877205480131,-0.312983840659532,-0.581285753885037,-1.80641657958878,-2.55864449578775,-3.96312630585129,-4.27848046980486,-4.79810275199862,-4.83977158155284,-6.35218279793809,-6.72779884602774,-7.18436193175563,-7.42627877415467,-8.21087318753676,-8.46318195086264,-8.36733070070451,-8.69961844585191,-9.47528974763153,-9.8516788754337,-9.96326436159795,-9.95033837776582,-10.4659475971587,-10.8002048578295,-11.0972393326735,-10.9678511251987,-11.1388776929131,-11.6226518656977,-12.085294135991,-11.6544562094225,-11.8167699708944,-12.3666382502726,-12.4577777597718,0
57.5063401167632,58.0217180582846,57.9283502766013,56.0147327826282,45.9954737218953,10.7840926409213,8.75685930051508,4.09188757974665,2.37881462791096,0.233353212253204,-0.384231887174234,-1.27811885311554,-2.05631874057745,-3.5665046617194,-4.10642348332847,-4.29923545618547,-4.56709768486478,-6.0882441548831,-6.26850053818475,-6.60489793728872,-6.8652705556023,-7.75161114212211,-8.03583245194203,-8.31042124848048,-8.44207937896095,-8.85612671544855,-9.35906526841793,-9.33116507459859,-9.59966347628701,-10.2835313963508,-10.3861511115426,-10.4405635655623,-10.1605240298426,-11.045269778058,-11.294787257438,-11.3653996143024,-11.6268419996729,-11.6222492537866,-11.8270725105343,-12.3154376375166,0
57.4784282479225,57.624448117088,57.6583763705603,55.2968353908764,45.1027887603268,10.5918380837883,7.76360914342599,3.33159588865663,1.66031611568394,-0.294588211308976,-0.412825384220332,-1.670884440869,-2.43049160491211,-3.72369168889085,-4.15690562466628,-4.43344960665066,-4.6545293406354,-5.9403472000618,-6.33379072372674,-6.62677477801747,-7.2249138644269,-7.64919639846361,-7.95768579883889,-8.09214740885127,-8.21859491143324,-8.82990883808798,-9.20834083206687,-9.13258560753525,-9.27971586003156,-9.92680126341572,-10.2750235355237,-10.3544620989661,-10.0263744493925,-10.7593920386429,-10.8885194617645,-11.3523252770008,-11.3448548896184,-11.5336312384889,-11.5536084814701,-11.9754655920312,0
57.8695540023488,57.5100430353895,58.0386461545256,55.7868836316653,45.0651085867364,10.8769086928108,7.18932842624431,3.9276606166902,2.06003757110467,0.16615863025989,-0.354537872447917,-1.47059573680703,-2.01405744849445,-3.62627610273437,-4.16231890045036,-4.19114900497049,-4.92448931192121,-5.95553107386141,-6.34361771712942,-6.88079552910095,-6.94417670588972,-7.55286204521745,-8.02364394622486,-8.11380666632194,-8.36604103762022,-8.8887180744555,-9.29328537115085,-9.5966336082988,-9.38428439793003,-10.161356264939,-10.3868392177358,-10.606737646721,-10.5834533136829,-10.8418106253973,-11.2138129367874,-11.2507556918715,-11.3769660532737,-11.7755584131371,-11.8625454866911,-12.2359883602418,0
57.632953282507,58.4834194157634,58.2205368554796,55.5666284559996,45.4522252827313,10.0131648189887,8.4838945455594,3.87740001491274,2.02481610775753,0.165816732946383,-0.402727140347357,-1.71510098864235,-1.47790621828255,-3.61026923734336,-3.99227005727919,-4.27331775726053,-4.78593981824623,-5.95626652770065,-6.2977878990684,-6.74217564549239,-7.01572856007157,-7.70781343691602,-8.04622235353466,-8.10247005662059,-8.29628235953067,-9.1472749288185,-9.37037263881505,-9.46116638331876,-9.25880888264289,-10.1548983502624,-10.3898469186574,-10.5899143452188,-10.3454947602121,-10.9345724932529,-11.2130404456281,-11.6150409018729,-11.5500026369563,-11.5611201637923,-11.8611253758672,-12.1050422365438,0
57.8979454274385,58.525724302664,57.4778483167175,54.7306062164328,45.654367799257,10.7319437332487,8.4870046615022,3.24073962251787,1.97955765766895,-0.0353431080388319,-0.538369654669627,-2.01230591659797,-2.66178014154036,-4.08860677737451,-4.54949842724714,-4.81995149666107,-5.220125697046,-6.52164540742556,-6.86396248571077,-6.88041006422628,-7.19640495630298,-8.18470763300145,-8.65884800773377,-8.70969424129366,-8.59757635502175,-9.53249563725871,-10.0042690635732,-9.94827414388159,-10.3779457758414,-10.7011212666247,-11.0091587030731,-11.3987997931248,-11.3349946576744,-11.830390325662,-11.9112341923124,-12.2900748089599,-11.9626132751874,-11.9576142843111,-12.5370135925183,-12.7852641409735,0
56.8720677359695,56.988296256348,57.5902540186577,54.8733116246695,45.5503456846072,10.6434382842202,8.24234537284218,3.68702602436651,1.98929030691465,-0.336595656593062,-0.870228790379388,-2.07318522404442,-2.39257057703121,-4.2843070210536,-4.64622380958785,-4.92146450322705,-5.78593396405363,-6.70190511653722,-7.12259001591485,-7.24401606563428,-7.54319835368861,-8.45506799821847,-8.82705078901344,-8.726091806046,-8.83645502760806,-9.67530457862264,-10.0937415887554,-10.520073453661,-10.2178993676207,-11.0019996098691,-11.1889799905866,-11.4165868372516,-11.182193152682,-11.8156741700133,-11.98493353409,-12.4217833104061,-11.9797207333562,-12.4581554753014,-12.5743728184423,-12.9272908651181,0
58.0666018995364,57.5851223244147,56.8411983533864,55.9760579460449,46.3327647873797,11.0470210806076,7.72038020615099,4.02863915179854,2.49919893610876,0.437320707564763,0.0493111121117349,-0.948075357673604,-1.70554447768337,-3.12973465930168,-3.52307555141909,-3.7566749365892,-4.23132390638253,-5.42424032135483,-5.83695774989543,-5.884230228217,-6.02560309620169,-7.1844134466727,-7.49239365947575,-7.65864460307986,-7.81468914024967,-8.37481222886433,-8.78821522424186,-8.97544227585008,-8.78491621188529,-9.47168168560968,-9.83610311431702,-10.0788795807604,-10.1891349018682,-10.3985720348135,-10.6883723641279,-10.8681868247366,-10.9348274373594,-11.0529568993148,-11.2432620459412,-11.599692557258,0
57.448226080813,57.6170937891956,57.2989192270346,55.7554107261191,45.7488482740195,10.5478004973368,8.24602658848515,4.64216876457125,2.432494360826,0.515170580612861,0.0538961554820633,-0.987611116187427,-1.66850603075958,-3.15066590534576,-3.41476818524537,-3.87550883930791,-4.68317806451172,-5.47157576694653,-5.92136510741438,-6.25671322680851,-6.19635710945723,-7.35571138787319,-7.59781693565808,-7.89979945476034,-7.82958125300355,-8.48425923552211,-8.90252371866794,-9.18615793407973,-9.26221177959551,-9.91080022289437,-9.98282483442183,-10.0314170259391,-9.79971450179263,-10.5423564750434,-10.8244231827784,-11.0056147527134,-10.8011700424661,-11.1921717424934,-11.5217664707123,-11.7614162758846,0
